split,id,wav_path,duration_seconds,text,has_latin,is_short_clip,rms_dbfs,peak_dbfs,selection_reason,suggested_audio_action,audit_status,transcript_action,audio_action,keep_for_phase05_boost,corrected_text,notes
train,sample_00008987,dataset/extracted_wavs/sample_00008987.wav,3.881,احلام بالحاج c'est une des presidentes de l'atfd qui m'a accompagné,True,False,-71.407,-55.742,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009564,dataset/extracted_wavs/sample_00009564.wav,10.120,قريت عال blogging ا شنيا فكرة ال blogging بسهولة تامة انو تمارس الحاجة لي تعرفها ولا تحبها علي العلن توريها للعباد وتتفاعل معاهم,True,False,-71.397,-56.867,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009052,dataset/extracted_wavs/sample_00009052.wav,1.460,انكسروا الخوف,False,True,-71.383,-57.844,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009057,dataset/extracted_wavs/sample_00009057.wav,4.880,اننا نتواجدوا وناخذوا فرصتنا علي حسب الكفاءة بالطبيعة,False,False,-71.382,-57.054,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008904,dataset/extracted_wavs/sample_00008904.wav,3.620,مع club طاهر حداد انحب نرجع للتصوير لولة كان تسمحوا,True,False,-71.373,-57.342,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00008906,dataset/extracted_wavs/sample_00008906.wav,1.180,ما انجمش,False,True,-71.370,-58.945,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009024,dataset/extracted_wavs/sample_00009024.wav,3.040,je n'ai jamais osé لم اتجرا,True,False,-71.364,-56.330,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009119,dataset/extracted_wavs/sample_00009119.wav,3.460,وخسارة اليوم نتعداوا التاريخ لي يهزنا,False,False,-71.345,-55.268,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009060,dataset/extracted_wavs/sample_00009060.wav,6.940,انو ما تتلزش برشا نسا تعيش التجربة لي عشتها انا متاع عامين بدون عمل لانني اخترت انني نبقي مع بنتي,False,False,-71.339,-53.984,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009028,dataset/extracted_wavs/sample_00009028.wav,1.880,بش تشربت قهوة نهار الاحد,False,True,-71.334,-54.254,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009083,dataset/extracted_wavs/sample_00009083.wav,2.040,ماهوش مزية زادا,False,True,-71.332,-55.268,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009580,dataset/extracted_wavs/sample_00009580.wav,5.800,جاب عشرة ما يصدقش معناها جاب اثنعش ا الوالدة متاعه تبني لك قبة معناها,False,False,-71.313,-55.116,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009056,dataset/extracted_wavs/sample_00009056.wav,3.480,كمديرات لعديد المؤسسات الاقتصادية,False,False,-71.312,-57.440,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008894,dataset/extracted_wavs/sample_00008894.wav,1.960,اللي هي ماهيش حكايتي normalement,True,True,-71.311,-58.377,very_low_volume|code_switched|short_clip,consider_gain_normalize,,,,,,
train,sample_00009555,dataset/extracted_wavs/sample_00009555.wav,9.400,ا فبغرامي بال business عرفت انو هذا قرار غالط اول حاجة احصاييا شكون اكثر حسب رايكم التلامذة الباهيين ولا التلامذة المش باهيين في الرياضيات,True,False,-71.304,-54.461,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009603,dataset/extracted_wavs/sample_00009603.wav,12.781,اللي انحب نقوله مالحكاية هاذي شنوا مجالي هو تدريس الرياضيات لكن علمي بال business اثر عالمجال هذاكا ايجابا وما وصلت للارقام اللي حكيت لكم عليهم ماللول الا ما كنت دارس business,True,False,-71.302,-55.823,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00008892,dataset/extracted_wavs/sample_00008892.wav,2.040,bon par où commencer,True,True,-71.299,-57.245,very_low_volume|code_switched|short_clip,consider_gain_normalize,,,,,,
train,sample_00008925,dataset/extracted_wavs/sample_00008925.wav,5.260,وهذا لي حبيت نقوله عبر الكلمة لولة وعبر التحية والاجلال للسيدة جليلة بن حفصية,False,False,-71.294,-54.531,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009116,dataset/extracted_wavs/sample_00009116.wav,2.840,وتفاعل معاها مع اللبنانيات مع المصريات,False,True,-71.291,-58.488,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008994,dataset/extracted_wavs/sample_00008994.wav,4.441,المراكمة الايجابية اللي بداوا من club صغير,True,False,-71.290,-56.960,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009020,dataset/extracted_wavs/sample_00009020.wav,2.100,واقفة هي قهوة الرجال,False,True,-71.285,-58.160,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008907,dataset/extracted_wavs/sample_00008907.wav,1.040,ما نحكيش,False,True,-71.285,-57.149,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008930,dataset/extracted_wavs/sample_00008930.wav,2.981,هذا لي انحب نتقاسمه معاكم وهذا لي انحب نحكيهولكم,False,True,-71.282,-55.116,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008922,dataset/extracted_wavs/sample_00008922.wav,1.880,اللي تاسس في ارب وقتها,False,True,-71.282,-56.505,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009558,dataset/extracted_wavs/sample_00009558.wav,6.460,التلامذة الباهيين تتنافس عليهم معناها لا يزي المرشي اقل ولا يزي فيه تتافسية كبيرة برشا,False,False,-71.274,-56.867,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009565,dataset/extracted_wavs/sample_00009565.wav,6.301,فسجلت ثلاثة الاف vidéo فيهم برنامج دراسي الكل متاع اللا الرياضيات والفيزياء,True,False,-71.272,-56.158,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00008914,dataset/extracted_wavs/sample_00008914.wav,6.080,السيدة جليلة بن حفصية غادرتنا مؤخرا في اوت الفين وثلاثة وعشرين,False,False,-71.271,-54.674,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009103,dataset/extracted_wavs/sample_00009103.wav,2.761,شبش تعملي بيه بش تهزيه للنسيب ا,False,True,-71.268,-55.989,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009105,dataset/extracted_wavs/sample_00009105.wav,2.540,انحب نقول لهنا لي النسا هذوما,False,True,-71.267,-55.906,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009090,dataset/extracted_wavs/sample_00009090.wav,1.420,العقلية هاذي,False,True,-71.267,-53.043,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008896,dataset/extracted_wavs/sample_00008896.wav,1.400,النسا والمدينة,False,True,-71.267,-59.183,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009033,dataset/extracted_wavs/sample_00009033.wav,2.640,لكن كانت عمل كامل,False,True,-71.263,-56.417,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008971,dataset/extracted_wavs/sample_00008971.wav,1.061,في التصويت,False,True,-71.262,-57.844,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009070,dataset/extracted_wavs/sample_00009070.wav,1.160,للاجيل القادمة,False,True,-71.262,-57.440,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009123,dataset/extracted_wavs/sample_00009123.wav,1.760,انا انحب نقول لكم حاجة واحدة,False,True,-71.260,-58.488,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008985,dataset/extracted_wavs/sample_00008985.wav,3.200,كاسحة الحكاية انا مالجيل لي بدا علي بكري,False,False,-71.256,-54.322,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009576,dataset/extracted_wavs/sample_00009576.wav,5.041,فاخاطر قتلكم مجال اختصاصي التلامذة اللي ماهمش باهيين في الرياضيات,False,False,-71.255,-58.053,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009000,dataset/extracted_wavs/sample_00009000.wav,6.260,ونعتبر روحي مالجيل اللي جا امبعد الثورة في النسوية لكن اللي بش يستمر لعدة اجيال اخري,False,False,-71.254,-56.594,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009044,dataset/extracted_wavs/sample_00009044.wav,2.060,ونتخيل لي برشا تونسيات كيفي,False,True,-71.252,-57.844,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009092,dataset/extracted_wavs/sample_00009092.wav,1.040,وخرجوا,False,True,-71.240,-58.053,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009538,dataset/extracted_wavs/sample_00009538.wav,1.661,فمغروم برشا بالحكاية هاذي,False,True,-71.240,-57.342,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009054,dataset/extracted_wavs/sample_00009054.wav,3.641,اما الفضاء العام هو زادا ايضا المشاركة في الحياة السياسية,False,False,-71.234,-56.505,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008937,dataset/extracted_wavs/sample_00008937.wav,1.461,وخرجت منه,False,True,-71.232,-58.053,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009571,dataset/extracted_wavs/sample_00009571.wav,7.141,هذا يتفرج دقيقة وهذاكا يتفرج دقيقة وهذاكا يتفرج دقيقة مع بعضهم يطلعوا ثمانيميات سنة متفرجين عالفيديوات يعني ديناصور يحكي معاكم,False,False,-71.232,-57.149,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009569,dataset/extracted_wavs/sample_00009569.wav,8.280,وشكونهم العباد لي يعرفوني التلامذة اللي عندهم مشاكل في الرياضيات فالمرحلة الثانية هاذي مرحلة التدوين في مرحلة التدوين انتشرت الفيديوات برشا,False,False,-71.228,-57.054,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009561,dataset/extracted_wavs/sample_00009561.wav,5.541,فكنت اندرس انمارس في التدريس مع فية معينة لاعتبارات تاع business صافي,True,False,-71.227,-56.505,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009585,dataset/extracted_wavs/sample_00009585.wav,22.322,مدون انت وحدك ات وحدك معناها تقري تاخذ مية بمية مالفلوس لي اتدخلهم امورك واضحة ما يكسر لك راسك حتي حد كيفاش توا بش تجيب معاك اساتذة وناس تخدم معاك وكل شي وهذا اناكد لكم اللي مش مغروم بال business واللي مش فاهم ال business ما ينجمش يعمله ينجم يقري وحده ينجم ينجح لكن كي بش يجيب معاه ناس اخرين ا ما ينجمش يا ما ينجمش معناها يواصل معاهم,True,False,-71.225,-54.966,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009029,dataset/extracted_wavs/sample_00009029.wav,4.340,في ال terrasse اللي مقابلة باب منارة واللي هي مزيانة برشا القهوة هاذي,True,False,-71.225,-57.844,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009026,dataset/extracted_wavs/sample_00009026.wav,2.900,في الفين واربعتعش او الفين وثلاتعش,False,True,-71.224,-57.539,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009607,dataset/extracted_wavs/sample_00009607.wav,5.320,مهما كان م ال راهو ال اذا كان ما فهمتشي الراضيات راهي المشكلة ماللي فهمك مش مشكلة منك انت,False,False,-71.224,-55.823,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008909,dataset/extracted_wavs/sample_00008909.wav,4.341,السيدة جليلة بن حفصية اللي هي اسست ال club طاهر حداد,True,False,-71.220,-56.330,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00008993,dataset/extracted_wavs/sample_00008993.wav,1.991,اللي عملوها النسويات,False,True,-71.216,-57.245,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009587,dataset/extracted_wavs/sample_00009587.wav,2.940,قتلي امالا علاش تجيب ناس تشاركك في الفلوس اللي تعمل فاهم,False,True,-71.215,-57.640,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008891,dataset/extracted_wavs/sample_00008891.wav,1.001,عالسلامة,False,True,-71.213,-58.053,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009599,dataset/extracted_wavs/sample_00009599.wav,15.281,يقول لك هاني جربت نخدم مع عباد وما مشاتش لمور وما يلزمكش تعطي ا صاحب صنعتك عدوك ما يلزمكش تعطي الثقة في ا في واحد تعلمه يهرب عليك ا ا ما تتهني كان عالحاجة كي تعملها بيديك هذوما كلهم خرافات اللي يحب يعمل حاجة كبيرة,False,False,-71.212,-56.775,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009532,dataset/extracted_wavs/sample_00009532.wav,5.560,ا في des chiffres ا تقي academy مجموعة ارقام عنا اربعميات الف تلميذ,True,False,-71.211,-55.502,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009604,dataset/extracted_wavs/sample_00009604.wav,17.082,فنقول لكم وانحثكم علي و ايا كان مجالك ايا كان المجال متاعك لازمك تعمل طلة شوية عال business تعمل طلة شوية عال marketing تعمل طلة شوية اي مجال تتعلمه تنجم توظفه في اللا في المجال الاصلي متاعك وتلقي نتايج اكبر واوسع ببرشا,True,False,-71.209,-55.423,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009093,dataset/extracted_wavs/sample_00009093.wav,6.761,والصورة اللي قبلها هي صورة لمناضلات هبطوا مساندة للنساء الايرانيات,False,False,-71.207,-55.661,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009535,dataset/extracted_wavs/sample_00009535.wav,5.601,ا اني شخص مغروم برشا بال business نقرا برشا كتب في ال business مغروم زادا بالتدريس,True,False,-71.206,-57.245,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009582,dataset/extracted_wavs/sample_00009582.wav,7.640,التلامذة اللي مش باهيين اكثر و l'impact متاعك ا اكثر عليهم و وهوما برشا في الل في المرشي ماثماش تنافسية عليهم,True,False,-71.205,-56.158,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009579,dataset/extracted_wavs/sample_00009579.wav,19.782,تلميذ باهي تلقي عنده تسعتعش في الرياضيات حاجة كيما هكا كان جاب ثمانتعش ينجم يولي يبكي راهو جاب سبعتعش تصير له dépression عادي معناها يصير donc بينما تلميذ ا مش باهي في الرياضيات عنده لص هو ولا ثنين في اللا في ال اخر examen كي بش تخدم معاه شوية جاب خمسة déjà حاجة باهية عاللخر تضرب معدله في الخمسة,True,False,-71.205,-51.273,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00008945,dataset/extracted_wavs/sample_00008945.wav,9.030,انحب نقول حاجة اخري اللي انا اليوم ما نجمت نكون المرا الموجودة كيما قدامكم اللي وصلت له كام,False,False,-71.201,-55.116,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008920,dataset/extracted_wavs/sample_00008920.wav,1.800,que je voulais partager avec vous,True,True,-71.200,-55.116,very_low_volume|code_switched|short_clip,consider_gain_normalize,,,,,,
train,sample_00009559,dataset/extracted_wavs/sample_00009559.wav,8.361,يعني هذا ما يسمي في ال business ا red ocean المحيط الاحمر اللي فيه تنافسية شديدة donc اني اخترت المحيط الازرق اللي فيهشي تنافسية بالكل تقريبا,True,False,-71.200,-56.867,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009069,dataset/extracted_wavs/sample_00009069.wav,6.401,ثلاثة نقاط مهمة عالاقل اللي انشوف اللي مهم برشا اننا نستحفظوا بيهم,False,False,-71.197,-55.906,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008964,dataset/extracted_wavs/sample_00008964.wav,1.420,que nous sommes diverses,True,True,-71.197,-57.149,very_low_volume|code_switched|short_clip,consider_gain_normalize,,,,,,
train,sample_00009537,dataset/extracted_wavs/sample_00009537.wav,11.161,اي حاجة نتعلمها انحاول انسهلها وانبسطها وانحطها في فورمة هكا استفزازية شوية هكا وانعلمها خاصة للناس اللي ماعندهاش فكرة قبل عالمجال هذاكا,False,False,-71.195,-56.417,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008959,dataset/extracted_wavs/sample_00008959.wav,1.460,نتعداوا لي امبعده عيشك,False,True,-71.194,-58.160,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009058,dataset/extracted_wavs/sample_00009058.wav,1.820,في م اماكن القرار,False,True,-71.194,-57.342,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009617,dataset/extracted_wavs/sample_00009617.wav,12.630,اللي ياكلوا الدلاع الكل يغرقوا ولا انجم نقول لكم اللي غرقوا الكل كلاوا الدلاع تفهم منها انو مية بالمية راهو اه مية بالمية مية بالمية ا اللي غرقوا كلاوا دلاع في الفترة هذيكا,False,False,-71.193,-55.345,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009605,dataset/extracted_wavs/sample_00009605.wav,5.440,باهي تدريس الرياضيات هو صحيح مجال تخصص ومجال خدمتي وانجيب منه فلوس,False,False,-71.192,-57.054,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009591,dataset/extracted_wavs/sample_00009591.wav,10.301,ثالث رابع خامس في الخامس انولي نرجع لاكا المية بالمية لكن علي فكرة المية بالمية هاذي اكبر من ب مالمية بالمية لخري لي كنت نعمل فيها وحدي خاطر ولي ا ا عمل مجموعة كاملة,False,False,-71.185,-55.906,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009067,dataset/extracted_wavs/sample_00009067.wav,2.860,اللي احنا ماناش قاعدين يشوفوا فينا بنفس الطريقة,False,True,-71.177,-56.505,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009536,dataset/extracted_wavs/sample_00009536.wav,4.281,التدريس اي حاجة مش كان الرياضيات ومش كان المواد العلمية,False,False,-71.177,-57.948,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009570,dataset/extracted_wavs/sample_00009570.wav,5.679,ا انحب نقول لكم رقم الفيديوات متفرجين عليهم ثمانية قرون معناها ثمانيميات سنة,False,False,-71.173,-56.505,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009545,dataset/extracted_wavs/sample_00009545.wav,12.563,ا كان بالنسبة ليا اني الرياضيات ا حاجة ساهلة عاللخر حاجة انشيخ عليها برشا حاجة نعرف عكس برشا عباد معقدة مالرياضيات لكن بالنسبة ليا حاجة لعبة هكا وجو وكل شي,False,False,-71.172,-55.116,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009115,dataset/extracted_wavs/sample_00009115.wav,4.300,الحراك النسوي التونسي كان متصل بكل هاته المجموعات,False,False,-71.172,-56.158,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009544,dataset/extracted_wavs/sample_00009544.wav,1.860,فوقتها اني كنت قراي,False,True,-71.170,-58.053,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008984,dataset/extracted_wavs/sample_00008984.wav,4.561,وعملت السياسة في عهد بن علي وقت النوفمبرية,False,False,-71.169,-56.243,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009084,dataset/extracted_wavs/sample_00009084.wav,9.441,اذا كان انا انحب نخدم وانتي تحب تخدم فهذا حقنا وما ينجم حتي حد لا يحطنا طالب عمل رتبة ثانية,False,False,-71.167,-54.051,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008910,dataset/extracted_wavs/sample_00008910.wav,9.881,ما انجموش نحكيوا عالنسوية في تونس وعلي حقوق النسا ماغير ما نحكيوا علي club طاهر حداد اللي هو بعيد علينا ميتروات لهنا ماهوش بعيد,True,False,-71.161,-53.162,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009546,dataset/extracted_wavs/sample_00009546.wav,6.561,باهي فهاذي حاجة تصعب علي برشا ناس ونعمل فيها اني بسهولة فقلت هذا هو لختيار متاع المجال,False,False,-71.161,-56.960,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009590,dataset/extracted_wavs/sample_00009590.wav,11.501,باهي هذا اني خذيت عشرين بالمية لكن شوفوا من مية بالمية هبطت لعشرين في المية لو كان انجيب استاذ ثاني انخدمه معايا ياخذ هو ثمانين بالمية ناخذ انا عشرين بالمية وليت اني تقريبا اربعين في المية,False,False,-71.158,-56.330,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008966,dataset/extracted_wavs/sample_00008966.wav,5.380,tout un travail fait علي شنيا علي تحرير النساء وعلي حقوقهن,True,False,-71.155,-53.223,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00009548,dataset/extracted_wavs/sample_00009548.wav,9.501,ا فكانت عملية التدريس ومع توصيات ال لساتذة ومع والدي الله يرحمه كان استاذ فلسفة هو فف فسر لي عملية التفكير وعملية التدريس والبيداغوجيا والكل,False,False,-71.149,-52.983,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009007,dataset/extracted_wavs/sample_00009007.wav,4.581,ما ننساوش في اللحظات الفاصلة وين كانت المرا التونسية,False,False,-71.148,-54.966,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009606,dataset/extracted_wavs/sample_00009606.wav,9.281,ا وامبعد احنا كي ولينا موسسة كبيرة ولينا انقريوا بالطبيعة المواد الكل وغيره لكن الرياضيات تحديدا فيها فايدة كبيرة عاللخر لكل انسان,False,False,-71.147,-55.906,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008949,dataset/extracted_wavs/sample_00008949.wav,3.940,ونسا ايضا صارعوا الابوية والذكورية,False,False,-71.146,-50.180,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009118,dataset/extracted_wavs/sample_00009118.wav,2.740,خسارة اليوم يوقع مرات شيطنته,False,True,-71.141,-56.073,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008897,dataset/extracted_wavs/sample_00008897.wav,1.520,النسا وتونس,False,True,-71.141,-58.053,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009573,dataset/extracted_wavs/sample_00009573.wav,8.419,باهي الحكاية هاذي زادا زادا جات بقرار متاع business في ال business يقول لك اهم حاجة بش تعمل حاجة عال l'internet هي الثقة,True,False,-71.139,-53.407,very_low_volume|code_switched,consider_gain_normalize,,,,,,
train,sample_00008973,dataset/extracted_wavs/sample_00008973.wav,3.861,في المساواة في اللا الراتب,False,False,-71.137,-56.594,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008913,dataset/extracted_wavs/sample_00008913.wav,3.020,المدينة هي لي بدات فيها حقوق النسا,False,False,-71.130,-57.054,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008903,dataset/extracted_wavs/sample_00008903.wav,1.440,بدات حكايتهم,False,True,-71.128,-57.948,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009543,dataset/extracted_wavs/sample_00009543.wav,6.561,اذا كان عندك حاجة تعملها ساهلة عاللخر وغيرك تصعب عليه هذاكا مجال اختصاصك وهذاكا مجال تنجم تجيب منه فلوس,False,False,-71.128,-56.594,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008935,dataset/extracted_wavs/sample_00008935.wav,2.840,و club ه طاهر حداد اللي احتضن النسويات,True,True,-71.127,-52.193,very_low_volume|code_switched|short_clip,consider_gain_normalize,,,,,,
train,sample_00008926,dataset/extracted_wavs/sample_00008926.wav,2.900,حبيت نقول اللي النسا كانوا موجودات مال المدينة,False,True,-71.127,-52.924,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009127,dataset/extracted_wavs/sample_00009127.wav,7.741,وما ف ما دام ماثماش عدالة بين جميع النساء ومساواة تامة وفعلية بش تبقي مطلب لاللي تتحقق,False,False,-71.125,-55.040,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009581,dataset/extracted_wavs/sample_00009581.wav,10.878,فاللا تاثيري علي الناس التلامذة اللي ا لي مش باهيين تاثير قوي برشا فهمت وهذاكا علاش اخترتهم واني نستغرب التوا نقعد انخمم نستغرب كيفاش لساتذة تتنافس عالتلامذة الباهيين,False,False,-71.122,-53.918,very_low_volume,consider_gain_normalize,,,,,,
