id,text,duration
sample_00000026,وماكنتش متميز جدا وماكنتش أ عندي الحلمة أنني نكون طبيب كيما الأطفال ولا محامي ولا قاضي كي ال standard,8.541
sample_00000027,نتذكر ك كانوا كي يسئلوني آش تحب تطلع نقول لهم ما نعرش,3.499
sample_00000028,معنتها الل الحلمة كانت flou شوية,2.294
sample_00000029,فنلقى روحي في المرسى,1.51
sample_00000030,أ وسط آ بيئة أخرى ثقافة أخرى,3.079
sample_00000031,أول مرة عمري ثمانية سنوات أول مرة في حياتي عمري ثمانية سنوات أرى البحر,5.912
sample_00000032,أ حدث,0.766
sample_00000033,تاريخي بالنسبة ليا آنا في حياتي أول مرة إنشوف حاجة فيها ماء مسيبة نسمع عليها شفتها في تصاور أما أنني إنشوفها وإنمارسها وغطست وغرقت آنا وأختي وخالتي,12.925
sample_00000034,ربي يسامحها خالتي فهمتني وللا هي اللي غرقتنا مشكورة لو كان تو تتفرج فينا,6.235
sample_00000035,فهمتني آ إف,1.83
sample_00000036,أ ت يعني كنت آنا في الوسط كنت قصير ولا أزال كنت في الوسط,4.169
sample_00000037,كانت أختي على يميني وخالتي على يساري هوما الزوز اللي غرقوا,4.995
sample_00000038,فكانوا يتراتحوا عليا آنا,2.046
sample_00000039,أي نعم كانوا يتراتحوا,1.709
sample_00000040,و ففي المرسى السنة رابعة إبتدائي خذيت جايزة يوم العلم تسعتعش فاصل ثنين وخمسين معدل,7.269
sample_00000041,وخذيت الجايزة متاع يوم العلم على تونس الكل آ مالزعيم الراحل الحبيب بورقيبة هذاكا زادا كان حدث بالنسبة ليا آنا,8.691
sample_00000042,وكنت ديما إن آ ديما إن أ ديما إنعوض في القراية كنت منزوي عاللخر حشام عاللخر,7.342
sample_00000043,وكنت آ إم باش ما نقولش نكذب أما كنت آ عندي خيال برشا,5.891
sample_00000044,معنتها إنجم إنجي نحكي حكاية نقول آ عرضني جريندايزر تو فهمتني وللا وشفت soucoupe volante ودرا شنوا فهمتني معنتها كان عندي خيال خصب عاللخر,8.748
sample_00000045,وكليت من أجل ذلك الخيال برشا ضرب,2.271
sample_00000046,أي إمبعد إكتشفت اللي هو هذاكا نورمالمون إم ما تتضربش عليه إتطوره أو توجهه,5.716
sample_00000047,تقول له راو مش كذب ما تجيش لولدك تقول له راو كذب,2.546
sample_00000048,هاني إنسايس في روحي تو آنا مع ولدي ولدي نفس الثنية زادا طالع لبوه,3.705
sample_00000049,فهمتني,0.593
sample_00000050,donc آ إم معنتها آ أ خذيت السيزيام ولهنا كان المنعرج,5.081
sample_00000051,كي خذيت السيزيام مشيت قريت في قرطاج الرئاسة carthage الرئاسة هذا المعهد يحتوي على زوز طبقات,6.249
sample_00000052,طبقة ثرية جدا جدا جدا جدا وطبقة فقيرة جدا اللي منهم آنا,6.337
sample_00000053,فماكانش ثمة طريقة أخرى إلا الل الضحك واللا إم والتنكيت و و والتهميش الوضعية الكل معنتها تولي ت تولي تضحك كي تشوف نعطيك مثال يعني أ ك أ وكنا سعداء جدا أحنا الوحيدين الفقراء وقتها فهمتني اللي أ آ إم إم أ ظاهرين أنو شرينا حوايج العيد أه في العيد الصغير,25.871
sample_00000054,خاطر لخرين ديما عيد خويا ديما لبسة ديما لبسة ديما لبسة أحنا إن في العيد الصغير ونتذكر مرة يعني آ آنا عندي الوالدة,8.274
sample_00000055,آ الوالدة بالنسبة ليا آنا هي ال repaire و l'axe اللي في حياتي,5.163
sample_00000056,أمي هي l'axe في حياتي لأنو أمي وقت اللي كان آ ب بابا غايب والجملة هاذي يلزمكم تسمعوها,6.566
sample_00000057,والحال شتاء تجي تقول,1.683
sample_00000058,الليلة حلها لبلابي,2.74
sample_00000059,أ هي اللا هي الطريقة اللي تقول بيها أمي الليلة حلها لبلابي تقنعك اللي بالمن جد الليلة حلها لبلابي,7.057
sample_00000060,و وهي قالت أكاكا لأنو ماعنا كان الخبز والحمص أحنا,3.786
sample_00000061,أما إنت تقتنع تقول لا حتى لو كان ثمة الكافيار والسومون الليلة حلها لبلابي,5.996
sample_00000062,قلت الإشكال في معهد carthage أ يعني كان س ثمة زوز طبقات وقتها ترهوجت آنا ضعت في القراية,7.437
sample_00000063,ودخلت في فترة مراهقة عجيبة غريبة,3.171
sample_00000064,بابا كان موظف في الديوانة التونسية بالخارج,3.203
sample_00000065,فهمتني ناب عليه ربي بدويرة سنيد في المحمدية,3.408
sample_00000066,donc مالمرسى كنا مطالبين كنا كاريين أنو نمشيوا للمحمدية فالمراهقة أيضا تركتها أ غادي في اللا في المرسى,9.781
sample_00000067,ووليت مطالب بش إنأسس علاقات أخرى معنتها أ مراهقة أخرى قصص حب أخرى فهمتني,7.057
sample_00000068,مشيت ل lycée المحمدية الحق آ cinquième année secondaire آ ماللي دخلت آ دوبلت,6.94
sample_00000069,وإنجحت لل sixième année secondaire آ وعامتها زادا دوبلت,3.958
sample_00000070,فهمتني,0.993
sample_00000071,ودوبلت أربعة سنوات في الباكالوريا,3.572
sample_00000072,أربعة سنوات في الباكالوريا لأنو وقتها أ دخلت للمسرح وكنت فاهم بالغالط المسرح,6.455
sample_00000073,دخلت للمسرح كنت نتصوره هو البديل عن الدراسة,4.896
sample_00000074,donc مشيت قريت آ في المع آ ف أم آ الل الباك عديت العام لول كيما قتلك آ دوبلت يظهر لي بستة معدل العام الثاني آنا آداب,9.775
sample_00000075,عام الثاني سبعة ونص رغم اللي آ إم كنت متميز في الفلسفة والعربية فهمتني وكنت ضعيف جدا في الإنجليزية لدرجة لا توصف,8.345
sample_00000076,معنتها مهزلة فهمتني في الفرنسية أيضا ولا أزال فهمت,4.298
sample_00000077,يعني لا والله توا أ والله العظيم العام الرابع قريت في معهد إسمه النجاح,5.584
sample_00000078,معهد إسمه النجاح وحق ربي ثمانية سنين لا نجح فيه واحد,3.722
sample_00000079,حكك بيرة مطيشة و فهمتني كلام بذيء على الجدران فهمتني,5.892
sample_00000080,معنتها آ مسائل م مرعبة,2.718
sample_00000081,فهمتني,0.715
sample_00000082,السبورة مرة طاحت على بروف l'anglais معنتها how are you قال how are you how are you تقول له إسم الله على راسه خويا قعد غادي يعني وضعية فهمتني,10.438
sample_00000083,إمبعد مشيت نقرى في المعهد العال للفن المسرحي,2.665
sample_00000084,كي دخلت للمعهد العالي للفن المسرحي آنا قبلها عملت يعني مسرح في دور الثقافة في دار الثقافة المحمدية,6.758
sample_00000085,وقبلها قبلها إب شنحكي لكم على أهم تجربة ممكن في حياتي,3.519
sample_00000086,عملت clown مهرج,1.719
sample_00000087,عملت أربعتعشن سنة مهرج الشخصية إسمها شهلول,3.865
sample_00000088,ومعايا صديقي نصيب أذايا إسمه دلول شهلول ودلول كنا يعني في المقاهي و والحانات وأعياد الميلاد فهمتني متاع الأثرياء,8.844
sample_00000089,وبش نحكي لكم زادا قصة,1.516
sample_00000090,مرة كلمتني مرا ألو قتلي عالسلامة سي جعفر قتلها أييه قتلي سي جعفر بربي شتعمل لي عيد ميلاد ولدي,6.391
sample_00000091,قتلها أي مدام فالسين نحنا,1.885
sample_00000092,بقداش قتلها آ م ميتين,2.019
sample_00000093,قتلي لا برشا عشرين قتلها مدام تي تي هاتي حتى عشرة آلاف بعدها والله راهو جو موش نورمال,6.726
sample_00000094,مشينا أخويا ما أمسطها من عائلة,4.023
sample_00000095,عمري ما ريت الساعة ماللي دخلنا قتلي أيا بدل وضحكونا,4.587
sample_00000096,وإنت يعلم بيك كان لي خلقك,1.559
sample_00000097,قتلها مدام هاه تو إنبدلوا قتلي لا يلزمك تضحكونا قتلي أسمع ولدي  راهو صعيب شوي,6.273
sample_00000098,هو ولدها,1.111
sample_00000099,أ هو ولدها هو آ هو تو وكان إنراه نحصروا آنا,3.807
sample_00000100,dans le temps dans le temps ولدها يعلب بال l'ordinateur dans le temps,5.37
sample_00000101,نقزت تصور آنا clown وعامل faux nez وإمكيج عملت واي,4.77
sample_00000102,عمل لي هكا ممسطه يا ماما,2.342
sample_00000103,تعرف شمعنتها لينا ممسطه يا ماما معنتها مش شيخلصونا,3.081
sample_00000104,معايا صاحبي أذايا سنقور قتله يا ودي يلزمه يضحك شنيا م ممسطه يا ماما واي عمل واي وي ما تحركش جملا,7.309
sample_00000105,واي قتله واي قتله خلي تدخل أمه للكوجينة تو إنضحكوه بالسيف أحنا,5.59
sample_00000106,أمه دخلت جبدته آنا قتله إسمعني,2.242
sample_00000107,وحق ربي قتله ما تضحكش إمبعد إن,3.142
sample_00000108,ماهي يعمل لي ماهي تو نضحك إف كي ل والله والله يعمل لي أتاو ن,4.651
sample_00000109,سمعتني قتله,1.554
sample_00000110,أمه جات وكذا بدينا نعملوا واي واي,2.702
sample_00000111,يعملها يا ماما ما حبيتوش أذايا ما إنحبوش يخوف عليا آنا يخوف وآنا ماني قصير ونعمل أكا يخوف يخوف,5.878
sample_00000112,ثمة مرا كبيرة قاعدة كيما إم الباب أذاكا,2.755
sample_00000113,أ مشيت آنا عملت لها,1.117
sample_00000114,تي فازة هكا ما ونا نسمع فيها تعمل آهاهاها,4.992
sample_00000115,قتله آو بش نخلصوا هاي تضحك هاي تضحك هاي تضحك آهاه آنا نسخايبها تضحك,4.48
sample_00000116,المرا مريضة في حالة وتكح فهمتني,3.668
sample_00000117,وشعرة لا ماتت آهاهاه,3.028
sample_00000118,حاصيلو للا م للأمانة المرا ما خلصتناش يرحم والديها في هالليلة فهمتني,6.412
sample_00000119,إمش أ بعد الل التجربة هذيا مشيت دخلت للمعهد العالي للفن المسرحي قريت آ أربعة سنوات آ دوبلت زادا عام في وسط المعهد العالي للفن المسرحي اللي آنا حاجة إنحبها عاللخر وبش نحكي لكم قصة رسوبي في المعهد,12.024
sample_00000120,دوبلت في المعهد وقت اللي ترشحت لجايزة أحسن ممثل في مهرجان المسرح التجريبي بالقاهرة,6.967
sample_00000121,كي روحت في فن الممثل خذيت ثنين على عشرين في تونس,4.288
sample_00000122,الله شي يضح,1.399
sample_00000123,وآنا متوج وسط ثنين وأربعين دولة وترشحت مع سامي العدل الله يرحمه وينعمه لجايزة أحسن ممثل,7.367
sample_00000124,donc فهمت اللي كونه اللي تقراه شي واللي تمارسه شي,4.373
sample_00000125,تنجم تكون في القسم ماعندك حتى علاقة أكادميا نحكيوا أ تنجم وتنجم تكون في الدنيا ممثل وعندك طاقات وكذا,8.392
sample_00000126,فإم عملت برشا تجارب تلفزة آ م آ أم مسلسلات آ برامج تلفزية,6.237
sample_00000127,عملت آ إم أول وان مان شو إسمه واحد مننا مسرحية هاذي إخراج منير العرقي إنتاج واب آر ونص أ محسن نفيسة,9.133
sample_00000128,وعملت تجارب في الإخراج فهمتني,2.733
sample_00000129,والأرتح بالنسبة ليا آنا هو كان الآ كان الإخراج وإلى حد هاته اللحظة آ كان الإخراج,7.213
sample_00000130,ولكن آ كنت إنعيش آ إم أ مم مسائل معتها آ دقيقة جدا,6.139
sample_00000131,كنت أتأرجح بين العهر,2.68
sample_00000132,والشرف,0.619
sample_00000133,معنتها في بعض اللحظات آ الإنسان آ مارس العهر,4.896
sample_00000134,الفني,0.673
sample_00000135,من أجل لحظة شريفة,2.152
sample_00000136,ساعات تلقى روحك تخدم في حاجة ماكش مقتنع بيها بالكل,3.139
sample_00000137,أما الظرف هو لي لزك باش تكون في اللحظة هذيكا آ من أجل لحظة شريفة اللي آنا إن إنسميها وقت اللي نعمل richard trois وإلا حقايب le projet هذايا باش حتى حد ما ينجم يصنصرك ولا حتى حد ما ينجم يقمعك ولا حتى حد ما ينجم يسيطر,20.205
sample_00000138,إنت تسيطر تبدا إنت مستقل ماديا وقتها تنجم آ تنجم تبدع,5.37
sample_00000139,الشهرة آ كيما ح آ إم حاجة باهية الشهرة دمار شامل,5.024
sample_00000140,كل شي amplifié,1.157
sample_00000141,كل شي مفخخ,1.619
sample_00000142,نحكي لكم قصة مرة آ قعدت ساهر آنا آنا نشرب,4.86
sample_00000143,وسهرت إ مع أصدقاء أصدقاء مقربين جدا,4.924
sample_00000144,صوروني,0.796
sample_00000145,فيديو أصدقاء أ مال domaine,2.419
sample_00000146,مال domaine,1.036
sample_00000147,فهمت الإشكال شنو هو,2.133
sample_00000148,صوروني فيديو وهبطوني هاو في قاعد وهاو يعمل وهاو كذا,4.38
sample_00000149,في الأثناء كنت إنخمم زادا كيفاش إنجم إنعاون خاطر آنا يعاونوني برشا ناس برشا عاونوني برشا ناس,6.914
sample_00000150,عملت الل راديو في راديو إي أف أم الراديو هذا كان الراديو التاسع في تونس اليوم هو الراديو رقم ثنين على مستوى نسب الإستماع تونس الكبرى,11.249
sample_00000151,وبرنامج فز تسمع العز اللي هو السنا آ خمسة سنين هو البرنامج الأول على مستوى نسب الإستماع أ في تونس الل الكبرى نهارة الاثنين بش إنوليوا كامل تراب الجمهورية فهمتني,11.205
sample_00000152,آ عملت آ إم برنامج إسمه يد واحدة ومن وقتها زادا حياتي تبدلت,6.935
sample_00000153,إكتشفت برشا حاجات وبش نعطيكم توا معلومة بش تروحوا طايرين إم مانيش بش إنطول برشا,5.208
sample_00000154,آنا إكتشفت في برنامج يد واحدة اللي كونه نسبة تسعين بالمية مالتوانسة باهيين,4.939
sample_00000155,باهيين أما ديما نحنا نحكيوا كان عالخايب,2.985
sample_00000156,وكي تحكي عالخايب تقول أمي يبذر ي يكثر يكثر يكثر كي الورم اللطف,5.398
sample_00000157,تحكي عليه تحكي عليه تحكي عليه تحكي عليه تحكي عليه يولي إم يولي ساكنك,5.131
sample_00000158,قررت ماعاش نحكي عالخايب جملا في حياتي آنا,2.445
sample_00000159,اللي عمل معاي الخايب ماعاش نحكي عليه نحرموا من كلامي نحرموا من تفكيري إنسبريميه,5.75
sample_00000160,ما نحكي كان عالحاجات الباهية و و وإنغامر وما نمنش ب ب با أ ي أم آ مجرب وطبيب ودرا شنوا هذاكا لا لا لا الإسئل مجرب وما تسئلش طبيب لا لا ما نسئلش مجرب آنا آنا بش إنجرب,14.648
sample_00000161,ما الإشكال ما أدراك يقول نيتشه تلهثون وراء الحقيقة ما أدراكم أنها أسلم لكم من الوهم شكون قال لك هذاكا صحيح إنت الساعة,9.099
sample_00000162,شكون قال لو كان هو لي اللي مجرب مسطك سامحني وتبلع,4.794
sample_00000163,أ آنا أذكى منه يعني م مجرب يلزمني إنجرب ويلزمني نغلط يحق لي الخطأ في هذا البلد,7.085
sample_00000164,وديما نقول آنا وين بش نغلط في موريطانيا نمشي نغلط غادي وإمبعد إنجي لا لا نعمل برنامج تافه ونعمل مسلسل تافه ومن حقي نغلط كيما الجوار في الكورة من حقه يضيع بلنتي و من حقه أ يفشل في الد ال demi finale من حقه من حقه ياخو فلوس كذا يتحاسب,16.455
sample_00000165,أما زادا أحنا بشر إنجموا نغلطوا في أي لحظة,2.584
sample_00000166,إن شاء الله ربي ينجحكم حتى شي ما يجي بالساهل إسمعوني آ م ماللخر بالكل حتى شي ما يجي بالساهل ردوا بالكم على حاجة واحدة أحلامكم,9.156
sample_00000167,وردوا بالكم لا يدمروا لكم أحلامكم بشتى الطرق سوا العايلة لصحاب الجيران الخلان الحبيب الحبيبة خاطر الحبيبة تنجم إتدمر الأحلام راهو والحبيب ينجم يدمر الأحلام,14.862
sample_00000168,تبقى عاملة هكا حياة عمرها,2.067
sample_00000169,هاي تستنى فيه هاهو وين مشيت هاو وين جيت إنتي وينك مدام,4.971
sample_00000170,هو على روحه أوكي وهي على روحها,4.576
sample_00000171,كل حاجة أ ما فهمتني كل حاجة في بلاصتها ما نقعدش واحلة غادي وإنشوف فيه في ربي أحليلي وقتاش وقتاش ي,6.615
sample_00000172,أموره يجي ولا ما يجيش أموره إسمعوا سامحني صاحبي أما يلزمني نحكي عاد فهمتني,5.699
sample_00000173,وهي زادا كيف كيف donc كل واحد يقول آنا بش نكون ويقول زادا آنا بش نكون لولاني,7.335
sample_00000174,آنا عمري ما قلت بش إنجي الثاني راهو ولليوم لغدوة وبش نعطيكم معلومة أخرى بالنسبة ليا آنا كل يوم يجي نقول اللي عملته مفسخ الديسك دير الكل إنفسخه,11.483
sample_00000175,اليوم بش نبدا واليوم زادا يلزمني نكون لولاني أما كان بش تعمل عالماضي متاعك وآنا عملت وآنا قديت وآنا حققت ماعنده حتى معنى,9.484
sample_00000176,خاطر الشي قاعد يتطور والجينراسيون لي جاية ذكية برشا وتخدم ياسر إن شاء الله ربي يوفقكم merci beaucoup يعطيكم الصحة,6.521
sample_00000177,عسلامتكم الناس الكل,1.085
sample_00000178,واو elle est belle la salle أه énorme ça me donne des envies de folie ما تخافوش لاني بش نجبد لكم لا جونتة لا بلاكة متاع زطلة اليوم,7.179
sample_00000179,je vous rassure on m'a déjà fouillé à l'entrée et d'ailleurs depuis ce fameux jour اللي مشيت فيه شمس أف أم وجبدت un joint وليت البقعة إلنمشي لها يفركسوني فيها automatiquement آ non pas par mesure de securité juste يلوجوا على شوية شيخة,13.317
sample_00000180,اليوم آ ما جيتش بش إنجيب لكم الشيخة,2.754
sample_00000181,اليوم آ جيتكم آ باسمي الخاص وباسم اللا ال collectif آ الحبس لا بش نحكي لكم على un projet كي nous tient à coeur,8.096
sample_00000182,mais avant de vous l'exposer إنحب نقول لكم اللي آ ce projet là est iss issu d'un constat amère الفقر والفشل في محاربته والقضاء عليه,10.557
sample_00000183,الفقر ضارب أطنابه في كامل تراب الجمهورية ومن عام لعام قاعد يزيد أكثر خاصة في المناطق الداخلية والمهمشة,6.699
sample_00000184,ومن أكثر المناطق الداخلية فقرا وتهميش نلقاوا ولاية سليانة,5.03
sample_00000185,ولاية داخلية معزولة مورادها قليلة ونسبة البطالة فيها أرفع مالنسبة الوطنية,6.598
sample_00000186,من مدة نحكي مع واحد من لواب الجهة سألته لقاتشي الحكومة حلول,5.402
sample_00000187,وهذايا كان آ الرد متاعه حرفيا جا سي الحبيب الصيد آخر ألفين وخمستعش وكانت هناك وعود كثيرة لم يتحقق أغلبها,9.165
sample_00000188,عالورق المشاريع موجودة,1.935
sample_00000189,لكن آ في الواقع التمويل ناقص المقاولين داينين للدولة والفلوس ماثماش,5.473
sample_00000190,وطريقة مقاربة مواضيع التنمية قديمة من نوع عشرة نعجات وكبش ومشاريع بودورو,5.797
sample_00000191,مشاريع بودورو وحتى المشاريع بودورو ماهمش لاقيين لها تمويل,5.054
sample_00000192,الفقر آ ماهوش عيب لكن العيب وقت إلنقعدوا مكتفين يدينا ونتفرجوا فيه و entre temps ناس قاعدة تموت بالشر,5.951
sample_00000193,إذا كان الحكومة عجزت على إيجاد الحلول من واجبنا أحنا كمواطنين كمجتمع مدني وأننا إنعاونوها في إيجاد الحل الأنسب,8.116
sample_00000194,اليوم ال collectif الحبس لا جينا هوني بش إنقدموا لكم الحل الأنسب le projet silianabis,7.313
sample_00000195,فاش يتمثل الموضوع ال ال المشروع هذايا,2.692
sample_00000196,tout simplement في,1.933
sample_00000197,voilà,0.426
sample_00000198,المشروع بكل بساطة,1.48
sample_00000199,يتمثل في خلق إطار تشريعي إستثنائي pour légaliser la chaine de valeur du cannabis je dis bien أ légaliser la chaine de valeur du cannabis,11.698
sample_00000200,مالزراعة,1.053
sample_00000201,للتحويل للبيع للإستهلاك,3.184
sample_00000202,وماثماش مناخم آ ملائم لهذا خير من آ سليانة اللي هي معتمدة أساسا,5.781
sample_00000203,عالفلاحة,0.637
sample_00000204,وخارج سليانة إنحافظوا على قانون ثنين وخمسين كيف ما هو,4.986
sample_00000205,آ donc seule سليانة échappera au lit de procuste,3.891
sample_00000206,بعبارة أخرى مشروعنا آ silianabis بش يكون آ بمثابة آ un projet آ pilote إذا كان الن النتائج متاعه كانت إيجابية إنواصلوا فيه إذا كانت سلبية نتراجعوا فيه,13.632
sample_00000207,لكن نحنا واثقين وأن التجربة هذيا بش تنجح و و ça donnera naissance à deux projets sim similaires peut être on trouvera un projet joindouba ولا,11.41
sample_00000208,ou ou bien tataweed on verra فهمتني وللا,3.15
sample_00000209,علاش نحنا واثقين وأنو المشروع متاعنا بش ينجح,3.3
sample_00000210,لأنو كلفنا آ خبراء من خيرة لي عنا في البلاد بش يقوموا لنا بدراسة حول المشروع هذايا والأرقام تتكلم وحدها,7.187
sample_00000211,parmi ces chiffres عنا un chiffre d'affaires estimé à cent millions d'euro de la première année,9.258
sample_00000212,هذوما بش يكونوا متأتيين ماللآ السياحة آ الداخلية والخارجية le commerce وبالطبيعة بش يكون عنده impact على التشغيل وحيث وقتها بش يخلق ثلاثة آلاف موطن شغل مالعام لولاني,14.387
sample_00000213,bon je constate que dès que j'ai parlé de légalisation ثمة عباد آ تفاجؤوا آ ثمة عباد تفجعت ثمة وجوه زراقت صفارت خضارت,9.855
sample_00000214,et c'est une réaction normale مستانسين بيها كلما نجبدوا الموضوع هذايا وهذايا راجع للآراء المسبقة اللي آ والمغلوطة اللي عند آ أغلب الناس,8.987
sample_00000215,لو كان تسمحوا بش نطرح عليكم بعض الأسئلة وماذابيا تتفاعلوا معايا وتجاوبوني بكل صراحة برفع الأيدي,8.085
sample_00000216,سؤال لولاني qui pense que les drogues sont interdites,4.606
sample_00000217,je vais vous surprendre ça dépend les drogues en elles mêmes ne sont pas interdites,4.533
sample_00000218,ce qui est interdit en vérité c'est l'usage illicite الإتجار غير المشروع,5.076
sample_00000219,je vous donne un exemple بش تفهموا أكثر,2.102
sample_00000220,إذا كان ناخذوا la codéine اللي هي مادة مخدرة مدرجة في الجدول باء كي تبدى عندي une ordonnance médicale نمشي نشريها مال pharmacie ولا ال pharmacien لا آنا إنشدوا الحبس par contre إذا كان نمشي نشريها من عند شخص ماعندوش ترخيص وأنه يبيعها نحنا الزوز إنشدوا الحبس,16.627
sample_00000221,donc du moment que le problème c'est l'usage illicite هات tout simplement إنردوه licite,5.938
sample_00000222,une autre question qui pense que la légalisation entraîne une hausse de la consommation,6.311
sample_00000223,il est vrai dès qu'on légalise ou on dépénalise ماللول ثمة فترة لي في الإستهلاك بش يطلع فيها شوية,6.457
sample_00000224,mais إمبعد on constate une chute considérable de la consommation,5.32
sample_00000225,وهذايا ثابت في ال تجارب البلدان اللي مروا مالمراحل هذيا كيف ما هولندا كيف ما portugal كيف ما l'uruguay كيف ما certains états amériacins,10.643
sample_00000226,قدامكم في ال graphique عندكم ال colorado اللي نسبة لستهلاك فيها أرفع ماللا المعدل الوطني و depuis deux mille treize depuis la légalisation vous constatez que la consommation est en baisse,12.591
sample_00000227,une autre question qui est pour la légalisation,2.507
sample_00000228,ر ردوا بالكم في الخروج,1.581
sample_00000229,qui est contre,0.675
sample_00000230,آه شوية إمالا علاش جاي آنا هوني pour convaincre qui et c'est bon je  les convaincus,4.254
sample_00000231,c'est bien ça facilite la tâche,2.08
sample_00000232,ben آ اللي ضد اللا légalisation علاش آ ما نمنعوش آ فرد مرة اللا الدخان و l'alcool,8.692
sample_00000233,donc آ du moment que vous êtes خ contre la légalisation علاش آ ما نمنعوش زادا فرد مرة الدخان و l'alccol,7.163
sample_00000234,تقولوا لي شمدخل هذا في هذا,1.683
sample_00000235,أ إنحب آ نعلمكم ولا إنفكر البعض اللي آ الدخان و l'alcool علميا وطبيا وقانونيا on lon on les considère comme des drogues ومضرتهم أخطر ببرشا مال cannabis,13.917
sample_00000236,les classements آ mondiaux أ آ des drogues selon la gravité que ce soit ceux établit par l'oms ولا qu'on retrouve في اللا rapport ned آ نلقاوا فيهم اللي l'alcool ديما في الصدارة م قدام حتى الكوكايين و l'héroïne من درجة الخطورة بعده شوية يجي الدخان وبعده برشا يجي le cannabis,19.932
sample_00000237,et pourtant أغلب بلدان العالم تجرم ال cannabis وتسمح ب ببيع وإستهلاك اللا l'alcool اللي هو قاتل contrairement للقنب الهندي,11.726
sample_00000238,et و على ذكر اللا التجريم إنحب نعلمكم اللي مكتب الأمم المتحدة للمخدرات والجريمة من ألفين وتسعة وهو يحث في البلدان اللي قاعدة تتبع في سياسة عقابية وأنهم يخرجوا الإستهلاك من مجال التجريم,14.701
sample_00000239,تونس للأسف مالبلدان اللي مازالت مصرة عالتجريم,4.032
sample_00000240,علاه نقول للأسف,1.359
sample_00000241,لأنو آ السياسة الجزائية ال الردعية أثبتت الفشل متاعها وهذايا تأكده الإحصائيات الرسمية وغير الرسمية اللي تورينا وأنو بالرغم مالعقوبة السجنية لا نجمنا نقضيوا لا على الإستهلاك لا على الإتجار,17.619
sample_00000242,le quart de la population carcérale مشدودين في قضايا مخدرات بمعدل سنوي متاع أربعة آراف وأربعمية من أجل آ الترويج وألف وستمية من أجل الإستهلاك علما وأنو السجين يتكلف على الدولة خمسة وثلاثين دينار يوميا,16.709
sample_00000243,par un petit calcul نلقاوا وأنو مساجين المخدرات يتكلفوا علينا ميتين وعشرة ملاين في النهار ستة وسبعين مليار في العام,9.764
sample_00000244,et ça ce n'est que le cours directe,2.88
sample_00000245,برشا فلوس تخيلوا الفلوس هذيا آش إنجموا نعملوا بيها المشاريع إلإنجموا نبعثوها,4.38
sample_00000246,كنا la moindre des choses إنجموا ناخذوا منها حتى شوية فلوس بش ن نحدثوا مراكز علاج وإنقوموا بحملات آ توعية وتحسيس شبابنا وصغارنا,9.338
sample_00000247,صغارنا اللي حسب الإحصائيات آ الرسمية نلقاوا اللي vingt cinq pour cent إد de nos collégiens et lycéens consomment des drogues,9.869
sample_00000248,الإحصائيات غير الرسمية تعطي un chiffre plus alarmant,4.386
sample_00000249,السياسة هذيا فاشلة علاش مازلنا مواصلين فيها علاش ما إنبدلوش علاش ما إنجربوش حو حاجة أخرى علاش ما نعملوش كي البلدان اللي جربت ونجحت doublement que ce soit sur le plan économique ou que ce soit sur le plan de la lutte,14.932
