id,text_raw,text,duration,reason
sample_00011799,مشيت,مشيت,0.493,too_short
sample_00011828,et,et,0.362,too_short
sample_00012096,باهي,باهي,0.48,too_short
sample_00012130,باهي,باهي,0.44,too_short
sample_00012141,مثلا,مثلا,0.48,too_short
sample_00012203,نهار,نهار,0.363,too_short
sample_00012419,donc,donc,0.473,too_short
sample_00012561,oui,oui,0.451,too_short
sample_00012563,باهي,باهي,0.417,too_short
sample_00012570,حتى آنا,حتي انا,0.48,too_short
sample_00012582,قهرة,قهرة,0.414,too_short
sample_00012592,باهي,باهي,0.325,too_short
sample_00012611,لكن,لكن,0.401,too_short
sample_00012797,إن شاء الله أ معنتها يكون كلامها أ واضح خاطر يلخص شوية شنوا كنا نحكيوا من بكري في إنو آ معناها العنصرية ماهياش أنك تبدل ال comportement متاعك أكهو راهي بنى إجتماعية معناتها ومؤسسات وإنو إنجموا إناضلوا خارج إطار آ آ رأسمالي وإنو الإستعمار راهو مازال موجود إلى اليوم ولازمه يكون في آ ال ال في أعلى آ آ معناتها ولا في في في في آ صدارة آ اللا ال الأجندات السياسية متاعنا,ان شاء الله ا معنتها يكون كلامها ا واضح خاطر يلخص شوية شنوا كنا نحكيوا من بكري في انو ا معناها العنصرية ماهياش انك تبدل ال comportement متاعك اكهو راهي بني اجتماعية معناتها ومؤسسات وانو انجموا اناضلوا خارج اطار ا ا راسمالي وانو الاستعمار راهو مازال موجود الي اليوم ولازمه يكون في ا ال ال في اعلي ا ا معناتها ولا في في في في ا صدارة ا اللا ال الاجندات السياسية متاعنا,30.323,too_long
sample_00012948,نعم,نعم,0.358,too_short
sample_00012978,أحنا,احنا,0.482,too_short
sample_00013094,علاش,علاش,0.473,too_short
sample_00013135,أماليهم معنتها هذوما مهملينهم ال stratégie متاع معهد الترات قعدت مركزة على اللا الفترة الرومانية لكن هذايا مش معنتها معنتها  مش معنتها ال حتى الحاجات الرومانية حافظنا عليهم برشا لا مثلا كي تشوف آ carthage توا آ تمشي ل carthage تشد ثنية معنتها من تونس أ حتى البلايك اللي تشوفهم مثلا تلقاها كان تثبتوا فيها البلاكة متاع carthage قد البلاكة متاع المرسى ولا متاع سيدي بوسعيد وقت لي carthage هي معنتها من كي تمشي البرة أكثر حاجة تعرف بيها تونس,اماليهم معنتها هذوما مهملينهم ال stratégie متاع معهد الترات قعدت مركزة علي اللا الفترة الرومانية لكن هذايا مش معنتها معنتها مش معنتها ال حتي الحاجات الرومانية حافظنا عليهم برشا لا مثلا كي تشوف ا carthage توا ا تمشي ل carthage تشد ثنية معنتها من تونس ا حتي البلايك اللي تشوفهم مثلا تلقاها كان تثبتوا فيها البلاكة متاع carthage قد البلاكة متاع المرسي ولا متاع سيدي بوسعيد وقت لي carthage هي معنتها من كي تمشي البرة اكثر حاجة تعرف بيها تونس,31.476,too_long
sample_00013144,كل سطر هو آ فترة تاريخية هذايا كي أم كي تجيب trax وتضرب ضربة في اللا في القاعة باك الضربة trax هزيت آ ما نعرفش ألف سنة تاريخ هكا وهذايا أكثر حاجة مهمة لي في ال في الآثار معنتها في القطع une fois تهزت ما تولي un objet d'art معنتها juste حاجة مزيانة والكل أما الأرض بيدها هي لي بش تقرى بيها تاريخ البلاد أ هد آ أم أ بش آ أ آ إنعاودوا أحنا قاعدين إنعاودوا,كل سطر هو ا فترة تاريخية هذايا كي ام كي تجيب trax وتضرب ضربة في اللا في القاعة باك الضربة trax هزيت ا ما نعرفش الف سنة تاريخ هكا وهذايا اكثر حاجة مهمة لي في ال في الاثار معنتها في القطع une fois تهزت ما تولي un objet d'art معنتها juste حاجة مزيانة والكل اما الارض بيدها هي لي بش تقري بيها تاريخ البلاد ا هد ا ام ا بش ا ا ا انعاودوا احنا قاعدين انعاودوا,30.394,too_long
sample_00013308,لهنا,لهنا,0.486,too_short
sample_00013312,donc,donc,0.425,too_short
sample_00013321,شعملت,شعملت,0.491,too_short
sample_00013512,yeah,yeah,0.477,too_short
sample_00013530,merci,merci,0.37,too_short
sample_00014036,هو,هو,0.478,too_short
sample_00014089,وينه,وينه,0.422,too_short
sample_00014090,أهوكا,اهوكا,0.42,too_short
sample_00014311,bon,bon,0.226,too_short
sample_00014519,طار,طار,0.386,too_short
sample_00014932,لا لا,لا لا,0.358,too_short
sample_00014953,يمشي,يمشي,0.358,too_short
sample_00014956,أوكي,اوكي,0.382,too_short
sample_00014960,حل,حل,0.221,too_short
sample_00015023,بلقاسم,بلقاسم,0.442,too_short
sample_00015031,من هي,من هي,0.4,too_short
sample_00015045,أه,اه,0.271,too_short
sample_00015050,نجحت,نجحت,0.363,too_short
sample_00015053,هذايا,هذايا,0.482,too_short
sample_00015054,كمل,كمل,0.422,too_short
sample_00015067,طيب,طيب,0.437,too_short
sample_00015068,من هو,من هو,0.499,too_short
sample_00015080,باهي,باهي,0.343,too_short
sample_00015093,أيه,ايه,0.237,too_short
sample_00015208,en fait,en fait,0.391,too_short
sample_00015425,عاود أرجع,عاود ارجع,0.416,too_short
sample_00015494,مش هكاكا,مش هكاكا,0.482,too_short
sample_00017634,﻿كيفاش,كيفاش,0.488,too_short
sample_00017885,﻿بحذاك اليوم,بحذاك اليوم,0.387,too_short
sample_00019355,عجب,عجب,0.461,too_short
