id,text_raw,text,duration,reason
sample_00011799,مشيت,مشيت,0.493,too_short
sample_00011828,et,et,0.362,too_short
sample_00012096,باهي,باهي,0.48,too_short
sample_00012130,باهي,باهي,0.44,too_short
sample_00012141,مثلا,مثلا,0.48,too_short
sample_00012203,نهار,نهار,0.363,too_short
sample_00012419,donc,donc,0.473,too_short
sample_00012561,oui,oui,0.451,too_short
sample_00012563,باهي,باهي,0.417,too_short
sample_00012570,حتى آنا,حتي انا,0.48,too_short
sample_00012582,قهرة,قهرة,0.414,too_short
sample_00012592,باهي,باهي,0.325,too_short
sample_00012611,لكن,لكن,0.401,too_short
sample_00012797,إن شاء الله أ معنتها يكون كلامها أ واضح خاطر يلخص شوية شنوا كنا نحكيوا من بكري في إنو آ معناها العنصرية ماهياش أنك تبدل ال comportement متاعك أكهو راهي بنى إجتماعية معناتها ومؤسسات وإنو إنجموا إناضلوا خارج إطار آ آ رأسمالي وإنو الإستعمار راهو مازال موجود إلى اليوم ولازمه يكون في آ ال ال في أعلى آ آ معناتها ولا في في في في آ صدارة آ اللا ال الأجندات السياسية متاعنا,ان شاء الله ا معنتها يكون كلامها ا واضح خاطر يلخص شوية شنوا كنا نحكيوا من بكري في انو ا معناها العنصرية ماهياش انك تبدل ال comportement متاعك اكهو راهي بني اجتماعية معناتها ومؤسسات وانو انجموا اناضلوا خارج اطار ا ا راسمالي وانو الاستعمار راهو مازال موجود الي اليوم ولازمه يكون في ا ال ال في اعلي ا ا معناتها ولا في في في في ا صدارة ا اللا ال الاجندات السياسية متاعنا,30.323,too_long
sample_00012948,نعم,نعم,0.358,too_short
sample_00012978,أحنا,احنا,0.482,too_short
sample_00013094,علاش,علاش,0.473,too_short
sample_00013144,وم اليوم تو حتى بعد الثورة معنتها أكثر حاجات إنركزوا عليهم ت تسمع في الأخبار تسمع archéologie أ هاو آ شدوا جماعة ي يسرقوا في الآثار هاو شدوا جماعة أخاطر عنده أ آثار في داره وقت لي كان فيكم شكون يسكن بحذا أي موقع أثري معنتها كان فيكم شكون يسكن في carthage ولا في أ بحذا تعرفوا اللي في دياركم معنتها عندكم لاثار مطيشة م ماهيش حاجة م تسمع بعض ساعات حاجة يقول لك نص colonne مطيشة أم ماهيش حاجة كبيرة معنتها وفي اللخر لاثار معنتها القطع لثرية ماعندهاش قيمة كيما اللا كيما ال الموقع الأثري بيده,وم اليوم تو حتي بعد الثورة معنتها اكثر حاجات انركزوا عليهم ت تسمع في الاخبار تسمع archéologie ا هاو ا شدوا جماعة ي يسرقوا في الاثار هاو شدوا جماعة اخاطر عنده ا اثار في داره وقت لي كان فيكم شكون يسكن بحذا اي موقع اثري معنتها كان فيكم شكون يسكن في carthage ولا في ا بحذا تعرفوا اللي في دياركم معنتها عندكم لاثار مطيشة م ماهيش حاجة م تسمع بعض ساعات حاجة يقول لك نص colonne مطيشة ام ماهيش حاجة كبيرة معنتها وفي اللخر لاثار معنتها القطع لثرية ماعندهاش قيمة كيما اللا كيما ال الموقع الاثري بيده,31.476,too_long
sample_00013153,إلعنا النهضة معنتها كنا راقدين قمنا donc كي عملوا النهضة في القرن اللا الثامن عشر آ بدا التفكير بداوا المفكرين وكل شي كلاوا الكف لول مع لستعمار عاودت نهضة أخرى لي هي مع اللا الحركات التحرر وكل شي جا الكف الثاني بال ko معنتها اللا الديكتاتوريات لي كانت اللي أم تحكم فينا عام إلتالي آ واللي مازالت تحكم فينا واللي مالمفروض بش يطيروا الكل معنتها أحنا توا في النهضة يظهر لي اللا الثالثة حاجة هكا آ الخلافة السادسة والنهضة اللا الثالثة,العنا النهضة معنتها كنا راقدين قمنا donc كي عملوا النهضة في القرن اللا الثامن عشر ا بدا التفكير بداوا المفكرين وكل شي كلاوا الكف لول مع لستعمار عاودت نهضة اخري لي هي مع اللا الحركات التحرر وكل شي جا الكف الثاني بال ko معنتها اللا الديكتاتوريات لي كانت اللي ام تحكم فينا عام التالي ا واللي مازالت تحكم فينا واللي مالمفروض بش يطيروا الكل معنتها احنا توا في النهضة يظهر لي اللا الثالثة حاجة هكا ا الخلافة السادسة والنهضة اللا الثالثة,30.394,too_long
sample_00013317,لهنا,لهنا,0.486,too_short
sample_00013321,donc,donc,0.425,too_short
sample_00013330,شعملت,شعملت,0.491,too_short
sample_00013521,yeah,yeah,0.477,too_short
sample_00013539,merci,merci,0.37,too_short
sample_00014045,هو,هو,0.478,too_short
sample_00014098,وينه,وينه,0.422,too_short
sample_00014099,أهوكا,اهوكا,0.42,too_short
sample_00014320,bon,bon,0.226,too_short
sample_00014528,طار,طار,0.386,too_short
sample_00014941,لا لا,لا لا,0.358,too_short
sample_00014962,يمشي,يمشي,0.358,too_short
sample_00014965,أوكي,اوكي,0.382,too_short
sample_00014969,حل,حل,0.221,too_short
sample_00015032,بلقاسم,بلقاسم,0.442,too_short
sample_00015040,من هي,من هي,0.4,too_short
sample_00015054,أه,اه,0.271,too_short
sample_00015059,نجحت,نجحت,0.363,too_short
sample_00015062,هذايا,هذايا,0.482,too_short
sample_00015063,كمل,كمل,0.422,too_short
sample_00015076,طيب,طيب,0.437,too_short
sample_00015077,من هو,من هو,0.499,too_short
sample_00015089,باهي,باهي,0.343,too_short
sample_00015102,أيه,ايه,0.237,too_short
sample_00015217,en fait,en fait,0.391,too_short
sample_00015434,عاود أرجع,عاود ارجع,0.416,too_short
sample_00015503,مش هكاكا,مش هكاكا,0.482,too_short
sample_00017643,﻿كيفاش,كيفاش,0.488,too_short
sample_00017894,﻿بحذاك اليوم,بحذاك اليوم,0.387,too_short
sample_00019364,عجب,عجب,0.461,too_short
