id,wav_path,duration_seconds,reference_word_count,prediction_word_count,word_edits,char_edits,wer,cer,bucket_flags,reference,prediction
sample_00008182,dataset/extracted_wavs/sample_00008182.wav,12.841,30,28,7,13,0.233333,0.082803,code_switched_reference|long_clip,ا تلقاوني زادا في قرقنة في جربة وفي جرجيس ناكل نتغذي généralement علي les méduses علي ا االسلط ا سلطعون البحر وشوية حوت هذاكا علاش ساعات نوحل في شباك البحارة,ا تلقاوني زادا في قرقنة في جربة وفي جرجيس ناكل نتغذا généralement علي l'émidus علي ا السلطة سلطعون البحر وشوية حوت هذيكا عليه ساعات نوحل في شباك البحارة
sample_00013693,dataset/extracted_wavs/sample_00013693.wav,7.121,18,18,8,12,0.444444,0.114286,code_switched_reference,مريضة من ا notre ا nos mauvaises d'habitudes nos mauvaises pratiques لي هوما برشا كان انجموا نحكيوا عليهم,مليفة من ا notre no mauvaises habitudes no mauvaise pratique لي هوما برشا ا كان انجموا نحكيوا عليهم
sample_00006528,dataset/extracted_wavs/sample_00006528.wav,3.748,10,10,3,7,0.300000,0.109375,code_switched_reference,معناها les carthaginois ماعندهمش الحق يبنيوا برط اما بناوا البرط,معناها les carthaginois ماعندهمش حق يبنيوا بورتس اما بناوا البرتس
sample_00006083,dataset/extracted_wavs/sample_00006083.wav,3.802,11,11,3,4,0.272727,0.066667,code_switched_reference,ياخي شنوا احنا on est des handicapés mentaux et et physiques,ياخي شنوا احنا on est des handicapés montaux ا et physique
sample_00001133,dataset/extracted_wavs/sample_00001133.wav,5.501,9,9,1,1,0.111111,0.022222,code_switched_reference,توا ما عادش بال l'internet تنجم تتعلم اي حاجة,توة ما عادش بال l'internet تنجم تتعلم اي حاجة
sample_00011622,dataset/extracted_wavs/sample_00011622.wav,5.928,14,14,5,10,0.357143,0.147059,arabic_only_reference,ا كنت من خارطة لخارطة من خارطة لخارطة عديت صغري الكل من خارطة لخارطة,ا كنت من خارطة لخرطة من خرطة للخرطات عديت صغري الكل من خاطر لخاطر
sample_00000946,dataset/extracted_wavs/sample_00000946.wav,1.964,4,4,1,4,0.250000,0.160000,arabic_only_reference|short_clip,باهي كملت الماجستار متاعي,باهي كملت المجالسير متاعي
sample_00018766,dataset/extracted_wavs/sample_00018766.wav,5.950,13,13,9,24,0.692308,0.303797,arabic_only_reference,نقراوا اكا سويعتين بعد نمشيوا نضربولها ملاوي فالليل عرفت عقاب الليل يضربنا الشر,نقراو اكا ال سواعتين و بعد نضربوها ملاوي عرفت عقاب الليل نضربنا الشهر
sample_00018047,dataset/extracted_wavs/sample_00018047.wav,4.880,11,14,4,10,0.363636,0.185185,code_switched_reference,الي ما يعملوليش it's hard for me to like find products,الي ما يعملوليش it's hard for me to try to like find a product
sample_00007077,dataset/extracted_wavs/sample_00007077.wav,3.289,6,6,0,0,0.000000,0.000000,code_switched_reference,c'est des entreprises ا rent seeking,c'est des entreprises ا rent seeking
sample_00020708,dataset/extracted_wavs/sample_00020708.wav,3.240,9,9,2,3,0.222222,0.061224,code_switched_reference,فال prépa كنت هاذوكم لوراق قاعدة نشوف فيهم ينقصوا,فال prépa كنت هاذوكم لورا قاعدين نشوف فيهم ينقصوا
sample_00011165,dataset/extracted_wavs/sample_00011165.wav,15.302,32,34,3,3,0.093750,0.019608,code_switched_reference|long_clip,voilà donc انت ا تحرم بدنك م من كل ما تنجم الطبيعة تعطيهوله وتخبيه rien que pour le donner علي طبق من ذهب للحياة اللي بعد الزواج يعني زوجك واطفالك وكل شي,voilà donc انت ا تحرم بدنك م م من كل ما تنجم الطبيعة تعطيهوله وتخبيه rien que pour le donner علي طبق من ذهب للحياة اللي بعد الزواج يعني زوجك و اطفالك وكل شي
sample_00017385,dataset/extracted_wavs/sample_00017385.wav,3.053,4,4,2,4,0.500000,0.148148,code_switched_reference,كيمفا الايامات لولانين donc,كيفما رايامات لولانين donc
sample_00003716,dataset/extracted_wavs/sample_00003716.wav,12.388,38,35,8,18,0.210526,0.093750,code_switched_reference|long_clip,donc العايلة لهنا عندها دور كبير بش تاطر اك الصغير هذاكا وتدفعه بش ي بش تزرع فيه قيم اللي بش يلقاها نهار اخر علي خاطر في ال mangement كيما تراوا المنجت ال management راو يلزم يمشي معاه الاخلاق,donc العايلة لهنا عندها دور كبير بش تطرق الصغير هذاكا وتدفعه بش بش يتزرع فيه قيم اللي باش يقاعها نهار اخر علي خاطر في ال management كيما تراوا ال management راو يلزم يمشي معاه الاخلاق
sample_00020527,dataset/extracted_wavs/sample_00020527.wav,3.945,8,8,1,2,0.125000,0.057143,code_switched_reference,donc شهر لولاني كان شهر متع اني نحط,donc الشهر لولاني كان شهر متع اني نحط
sample_00005536,dataset/extracted_wavs/sample_00005536.wav,2.727,6,6,1,1,0.166667,0.026316,arabic_only_reference|short_clip,اتفاقية الصلح بين مصر والكيان الصهيوني,اتفاقية الصلح بينا مصر والكيان الصهيوني
sample_00000545,dataset/extracted_wavs/sample_00000545.wav,1.740,1,1,0,0,0.000000,0.000000,arabic_only_reference|short_clip,كيفاش,كيفاش
sample_00015428,dataset/extracted_wavs/sample_00015428.wav,9.903,25,25,7,15,0.280000,0.104167,code_switched_reference,ا هذيا ال انحبها برشا هاللا التصويرة هذيا فهمت il faut toujours avoir un grand frère ينجم يعاونكم احنا l'association متاعنا c'est un grand frère,ا هذيا انا انحبنا برشا اللا التصويرة هذية خاطر il faut toujours avoir un grand frère ينجم يعملوا احنا l'association متاعنا c'est un grand fère
sample_00014980,dataset/extracted_wavs/sample_00014980.wav,1.258,3,3,1,6,0.333333,0.428571,arabic_only_reference|short_clip|high_cer_moderate_wer,باهي سؤال خطير,باهي سؤال الحقيقة
sample_00019762,dataset/extracted_wavs/sample_00019762.wav,9.619,20,22,6,15,0.300000,0.116279,code_switched_reference,they they're just there to like criticize هاذوكما هوما هاذوكما هاذيكا دنيتهم هاذوكما شنيا يعملوا فالدنيا هاذاكا خدمتهم اصلا لانهم,they they're just there to like criticize هاذوكما هوما و هاذوقما هاذيكا تصينتهم هاذوبما شنيا يعملوا فالدنيا هاذاكا خدمتهم اصلا انهم يطيبوا
sample_00002611,dataset/extracted_wavs/sample_00002611.wav,1.585,7,7,0,0,0.000000,0.000000,code_switched_reference|short_clip,ça serait bête de passer à côté,ça serait bête de passer à côté
sample_00007843,dataset/extracted_wavs/sample_00007843.wav,0.989,1,1,1,4,1.000000,1.333333,arabic_only_reference|short_clip|major_omission,خير,باهي
sample_00011762,dataset/extracted_wavs/sample_00011762.wav,3.362,14,15,7,12,0.500000,0.148148,code_switched_reference,وقال لي proverbe وقتها التوا نتذكره quatre vingt dix huit التوا نتذكر ال proverbe,قال لي proverbe وقتها لتو نتذكروا ب quatre vingt dix huit لتوا نذكر ال profère
sample_00020291,dataset/extracted_wavs/sample_00020291.wav,9.708,22,24,9,18,0.409091,0.152542,code_switched_reference,و اني نلقي الحل للمشكلة هاذيا i can't like coming نكذب عليكم نقوللكم تنجموا تتغلبوا عليه اعطيوا ثيقة في رواحكم i can't,و اني نلقي الحل للمشكلة هاذيا i can't like comment نكذب عليكم و نقلكم تنجموا تتغلب عليها عطيوا فيه قاعد في رواحكم i cant
sample_00020234,dataset/extracted_wavs/sample_00020234.wav,12.000,21,20,7,7,0.333333,0.066667,code_switched_reference|long_clip,منهم منهم يجي واحد اكثر من واحد و ثلاثين بالمية من جنوب الصحراء donc العدد متعهم اقل ببرشا ملي يقولوا فيه,منهم منهم يجي واحد اكثر من واحد وثلاثين بالمية من جنوب السحراء donc العدد متاعهم اقل برشا ماللي نقولوا فيه
sample_00006512,dataset/extracted_wavs/sample_00006512.wav,5.427,14,14,3,6,0.214286,0.075000,code_switched_reference,فهمتني الكتب اللي كتبوهم les carthaginois و les grecs الكل لوحوهم خلاوا واحد برك,فهمتني الكتب اللي كتبوهم les cartaginois وال les grecs الكل لوحوهم دخلوه واحد برك
sample_00020802,dataset/extracted_wavs/sample_00020802.wav,4.205,9,9,4,7,0.444444,0.166667,arabic_only_reference,تبسم محمود و قالو عندك افكار هايلة يا وحيد,تبسم محمود و قالو عندك فكار هالي و حيط
sample_00005064,dataset/extracted_wavs/sample_00005064.wav,20.382,44,45,23,92,0.522727,0.333333,code_switched_reference|long_clip,اولا c'est la fiabilité la référence de l'information المعلومة تجي مال مال مالل مال source متاعها معناها مثلا لهنا médecine ا médecine physique معلومة متاع médecine physique تجي مال médecin physique معلومة متاع تغذية تجي مال nutritionniste معلومة متاع رضاعة تجي مال sage femme,اولا c'est la fiabilité la référence de l'information المعلومة تجي مال مال من السورس متاعها معناها مثلا لهنا مدسين ا مادسين فيزيك معلومة متاع ماد سين فيذيك وتجي من médecin physique معلوما متاع التغذية ت جي من النوتريسيونيست معلoume متاع الرضاع تج ي مالسجفة ام
sample_00015703,dataset/extracted_wavs/sample_00015703.wav,3.547,7,7,4,14,0.571429,0.437500,code_switched_reference|high_cer_moderate_wer,genre تنجموا كان تحبوا a part ca,تنجموا كان تحبوا genre à part ça
sample_00015970,dataset/extracted_wavs/sample_00015970.wav,7.640,21,22,14,37,0.666667,0.321739,code_switched_reference,و تعمل ال condidature متعها وال équipe هيا لي بش qui va séléctionner احنا نطمحو بش نعملو نشاءالله اربعة وعشرين حلقة,و تعمل ال candidature متاعها و ال équipe هي لي بس كيفاش سلكتونا احنا نلقاو نفهمت نعملو نساء الله اربعة سنين حلقة
sample_00013178,dataset/extracted_wavs/sample_00013178.wav,16.961,43,42,43,198,1.000000,0.730627,code_switched_reference|long_clip,ا ولازم الشباب يولي يهتم اكثر معنتها نمشيوا لل les sites archéologiques موش خاطر عنا touriste صحابنا جاي نمشوا اندوروا بيه ناخذوا l'initiative نمشيوا ووقتها انجموا نتحكموا في الماضي متاعنا وقتها انجموا انعاودوا نكتبوا تاريخنا ووقتها انجموا نبنيوا ا مجتمع جديد وبلاد جديدة,اللي هي العلم متاعها ام مثلا ال concept بيده متاع archéologie archéologue توانك مثلا ا علي عشرة مالناس مثلا يقول لي كي وقتها كنت نقرا نقول له نقري archéologie عشر مالناس يبدا يحكي لي علي العرافة والكنوز و وطنبش في القبور وكلي
sample_00010020,dataset/extracted_wavs/sample_00010020.wav,7.474,20,20,5,8,0.250000,0.083333,arabic_only_reference,ركبت عالبهيم ومشيت بيه بش انهمله بعيد وبش نكتشف مركز علولو انا اركب فيه هو ي ما يحبش يمشي بالقدا,ركبت عالبيام ومشيت بيا بش انهمله بعيد وبش نكتشف مركز عاللولو انا ركف فيه هو ي م يحبش يمشي بالقدا
sample_00003375,dataset/extracted_wavs/sample_00003375.wav,3.463,11,13,6,4,0.545455,0.074074,arabic_only_reference,انحب نرجع بيكم ابعد ابعد ابعد ابعد ابعد ببرشا من هكاكا,انحب نرجع بيكم ابعد ا بعد ا بعد ابعد ابعد برشا من اكاكا
sample_00013913,dataset/extracted_wavs/sample_00013913.wav,5.001,15,15,1,2,0.066667,0.030303,code_switched_reference,انت ولا انا اليوم ال valeur ال top متاع ال top متاعي هي ال liberté,انت ولا انا اليوم ال valeur ال top متاع ال top المتاعي هي ال liberté
sample_00002175,dataset/extracted_wavs/sample_00002175.wav,5.687,16,16,2,5,0.125000,0.068493,code_switched_reference,عمري ما حسيت روحي مرتاح في اي lycée ولا اي collège ولا اي مدرسة قريت فيها,عمري ما حسيت روحي مرتاح في اي l'ifet ولا اي collège ولا ايا مدرسة قريت فيها
sample_00000395,dataset/extracted_wavs/sample_00000395.wav,0.726,2,2,0,0,0.000000,0.000000,arabic_only_reference|short_clip,ما نعرفش,ما نعرفش
sample_00018690,dataset/extracted_wavs/sample_00018690.wav,3.808,12,15,11,17,0.916667,0.314815,code_switched_reference,و بعد ارجعلو و ديما ارجعلو و ديما ارجعلو you gonna see,و مبعد ارجع له و ديما عرج عالو دي ما عرج عليو i'm gonna say
sample_00005027,dataset/extracted_wavs/sample_00005027.wav,5.219,12,11,2,5,0.166667,0.084746,code_switched_reference,الحق متاع العباد المريضة في ال sida في انها تعيش حياة عادية,الحق متاع العباد المريضة في السيداء في انها تعيش حياة عادية
sample_00014316,dataset/extracted_wavs/sample_00014316.wav,6.136,12,12,3,7,0.250000,0.114754,arabic_only_reference,هاي بطاقة ا لشتراك متاعك اسمع قول لنا راهو ماعندوش الحق يتكيف,هايبي تقد ا الاشتراك متاعك اسمع قول لنا راهو ماعندوش الحق يتكيف
sample_00017789,dataset/extracted_wavs/sample_00017789.wav,6.040,17,18,9,8,0.529412,0.083333,code_switched_reference,تنجم تمشيلهم و يكونوا bien sur eco-friendly و تشوف انتي شنوما الحاجات لي يساعدوك ولي ما يساعدوكش,تنجم تمشي لهم و يكونوا bien sûr ecofriendly و تشوف انتي شنوا مالحاجات لي ساعدوك الي ما يساعدونكش
sample_00007693,dataset/extracted_wavs/sample_00007693.wav,3.808,11,12,11,40,1.000000,0.754717,arabic_only_reference,تي شكونه وين يمشيوا شكون ينزل عالباب يتحل لي شكون حله,بش تقولوا لازم مانيشية وقت ما ينجم ياسر انا بحلمة شكون عندها
sample_00018876,dataset/extracted_wavs/sample_00018876.wav,12.000,24,24,6,8,0.250000,0.056338,code_switched_reference|long_clip,و l'education environmental ça c'est sûr c'est important mais voilà فما برشا حاجات نجموا نعملوهم الي هوما ils font parti de notre culture زادا,l'éducation environnementale ça c'est sûr c est important mais voilà فما برشا حاجات نجموا نعملوهم الي هوما ils font partie de notre culture زادا
sample_00003908,dataset/extracted_wavs/sample_00003908.wav,3.754,4,4,2,4,0.500000,0.129032,code_switched_reference,انسميوهم communément ولاد لحلال,نسميوهم communément ولاد الحياة
sample_00020809,dataset/extracted_wavs/sample_00020809.wav,3.699,10,10,4,6,0.400000,0.113208,code_switched_reference,حتي كيف نمشي نقضي par exemple من les grandes surfaces,حتي كيف نمشي نقلي par exemple مال les grands surfage
sample_00002376,dataset/extracted_wavs/sample_00002376.wav,1.859,3,3,0,0,0.000000,0.000000,arabic_only_reference|short_clip,والدليل علي ذلك,والدليل علي ذلك
sample_00009014,dataset/extracted_wavs/sample_00009014.wav,3.400,6,6,6,25,1.000000,0.862069,code_switched_reference,نهج الحقيقة باب منارة يا tata,ماهيش مع بلادنا خاطر مالنارة وليدنا
sample_00018812,dataset/extracted_wavs/sample_00018812.wav,4.636,7,7,1,1,0.142857,0.027778,code_switched_reference,racisme d'état و تجي تقلها انتي تحرر,gracisme d'état و تجي تقلها انتي تحرر
sample_00014686,dataset/extracted_wavs/sample_00014686.wav,6.022,13,14,4,4,0.307692,0.058824,code_switched_reference,مرتي خزرت له قتلي نزار اخي ماثمة كان البنات يتصوروا معاك des selfies,مرت غزرت له وقت لي نزار اخي ماثمة كان البنات يتصوروا معاك des selfies
sample_00020067,dataset/extracted_wavs/sample_00020067.wav,5.779,14,16,3,5,0.214286,0.066667,code_switched_reference,c'est un engagement الي نحسوه il fausse العلاقة و لا يهلكها donc si بالنسبة,c'est un engagement الي نحسوه il faut se العلاقة و لا يهلكها donc si بالنسبة لي
sample_00006240,dataset/extracted_wavs/sample_00006240.wav,2.039,7,7,1,2,0.142857,0.055556,arabic_only_reference|short_clip,وامبعد تجيك في ثوب عبد الرزاق الشابي,وامبعد جاك في ثوب عبد الرزاق الشابي
sample_00000848,dataset/extracted_wavs/sample_00000848.wav,3.163,8,8,1,1,0.125000,0.023810,code_switched_reference,انا je fait une intervention avec la photo,انا je fais une intervention avec la photo
sample_00020609,dataset/extracted_wavs/sample_00020609.wav,3.166,7,8,1,3,0.142857,0.093750,code_switched_reference,bien sur لازمو هو déja يكون قابل,bien sur لازمو هو déja يكون قابل ال
sample_00008633,dataset/extracted_wavs/sample_00008633.wav,11.277,22,24,9,26,0.409091,0.220339,code_switched_reference|long_clip,ا carthage sat هذاكا الصغير شنيا الهدف متاعه tout simplement يطلع في المدار متاعه بش يصور بش يصور لرض وبش يبعث التصاور,ا carthage sat هذاكا الصغير شنيا الهدف متاعه de simplement يطلع في ال madame متاعو بش يصور بش تصور ضد وبش يعمل خطيصة وضع
sample_00003100,dataset/extracted_wavs/sample_00003100.wav,9.536,33,32,11,26,0.333333,0.154762,arabic_only_reference,فانا ما ما عرفتش شنوا معناها نتحمل الطريقة هذيكا ولو انو كنت فرحان اللي انا انجم نقري ونصرف علي روحي ونبعث وقتها نتذكر اللي انا كنت نبعث للوالدة في عشرين دينار في الشهر,فانا ما ماعندش انا معناها نتحمل طريقة هذيكا ولو انو كنت فرحان انو انا انجم نخرج مسكفة علي روحي ونبعث لوقت نتذكر اللي انا كنت نبعد لولدة في عشرين دينار في الشرق
sample_00014426,dataset/extracted_wavs/sample_00014426.wav,3.318,8,7,2,3,0.250000,0.100000,arabic_only_reference,لكن قبل كل شي هو زعيم بنو امية,لكن قبل كل شي هو زعيم بنؤمية
sample_00014036,dataset/extracted_wavs/sample_00014036.wav,17.270,32,30,14,29,0.437500,0.151042,code_switched_reference|long_clip,donc normalement ما دام المقر متاع منظمة الوحدة الافريقية موجود في اديس ابابا اثيوبيا ان théoriquement اثيوبيا مستنفعة بالحكاية ا ثمة مقر ثمة بني ثمة موظفين اثيوبيين يخدموا في اللا المقر هذايا,donc normalement مدام المقر متاع منظمت الواحدة الافريقية موجود في اديسة بابا اثيوبية نقطيوريكما اثيفوبية مستنفع بالحكاية ا ثمة مقر ثمة بني ثمة معففين اثيموبيين يخدموا في اللا المقد هذايا
sample_00008185,dataset/extracted_wavs/sample_00008185.wav,11.261,24,27,13,18,0.541667,0.139535,code_switched_reference|long_clip,ثمة برشا ناس مغرومين بيا وبرشا ناس يقراوا عليا اذ خاطرني انا مهم برشا وجودي مهم برشا والك وكان ننقرض انجم يولي البحر déséquilibré,ثمة برشا ناس مغرومين بيا وبرشا الناس يقراوا عليه ا ام خاطرني انا مهم بروشا وجود يمهم بركشا و وينق وكان انقرض انجم يولي البحر des équilibrés
sample_00001919,dataset/extracted_wavs/sample_00001919.wav,3.680,11,10,3,5,0.272727,0.096154,arabic_only_reference,وين ا قررنا بش ما نقراوش ا ساعتين مالعشرة لنص النهار,وين قررنا بش ما نقراوش ا ساعتين مالعشرة ونص نهار
sample_00015311,dataset/extracted_wavs/sample_00015311.wav,1.746,2,2,1,5,0.500000,0.416667,arabic_only_reference|short_clip|high_cer_moderate_wer,ايواه نمشيوا,alors نمشيوا
sample_00009173,dataset/extracted_wavs/sample_00009173.wav,10.323,38,35,24,51,0.631579,0.244019,code_switched_reference|long_clip,ال pétrole ينجم يتعوض غدوة بالشمس بال nucléaire بغيره اما الما ما يتعوضش كلنا انعيشوا بالما المشكلة لي احنا بلادنا مفيهاش برشا ما donc ماعناش حل اخر à part la n bonne gestion يلزمنا انجاريوها بطريقة ماهية برشا,ال pétrolinege متاعوذ غدوة بالشمس بال nuque l'air بغيره اما الناس ما يتعوضش كلنا نعيشوا النار المشكلة احنا بلاد ما فيهاش برشا امان donc ماعناش حل اخري pas ل l'ambition يلزمنا انجارووها بالطريقة ماهيه ببرشا
sample_00018062,dataset/extracted_wavs/sample_00018062.wav,2.229,6,5,2,3,0.333333,0.100000,arabic_only_reference|short_clip,مانيش مصدقة لي نشوف فيه بعينيا,مانيش مصدقة لي تشوفيه بعينيا
sample_00014544,dataset/extracted_wavs/sample_00014544.wav,4.702,15,13,8,10,0.533333,0.135135,arabic_only_reference,وفيهم ملوك كبار ياسر كيما المعز بن باديس هوكا الناس الكل تسمي باديس ومعز و,وفيهم ولوك كبار ياسر كيما المعزب يبديس اوك الناس الكل تسمي بديس ومعزون
sample_00013668,dataset/extracted_wavs/sample_00013668.wav,7.015,21,22,4,4,0.190476,0.039604,arabic_only_reference,ميسالش ما تخلصش برشا ماعنديش لا كرهبة لا دار لا حتي شي اما فرحانة وعاملة جو طلعت اليوم بش نحكي قدامكم,ما يسالش ما تخلطش برشا ماعنديش لا كرهبة لا دار لا حتي شي اما فرحانة وعملة جو طلعت اليوم بش نحكي قدامكم
sample_00017686,dataset/extracted_wavs/sample_00017686.wav,4.533,12,11,1,7,0.083333,0.122807,code_switched_reference,and الحق متع ربي i have always wanted to be around people,and الحق متع ربي i have always wanted to be around
sample_00015984,dataset/extracted_wavs/sample_00015984.wav,2.718,8,4,5,21,0.625000,0.567568,arabic_only_reference|short_clip|major_omission,اللطف عليك يا بابا اللطف عليك يا بابا,لطف عليك يا بابا
sample_00000758,dataset/extracted_wavs/sample_00000758.wav,2.442,7,8,7,12,1.000000,0.342857,arabic_only_reference|short_clip,لم اعد استطيع ان اطوي الليالي بدونك,لم اعدت اسطايا وانا اقتوي لايا لي بيدونك
sample_00006717,dataset/extracted_wavs/sample_00006717.wav,1.543,3,3,0,0,0.000000,0.000000,arabic_only_reference|short_clip,معناها تهلكت بالفساد,معناها تهلكت بالفساد
sample_00005793,dataset/extracted_wavs/sample_00005793.wav,4.100,12,10,6,22,0.500000,0.392857,code_switched_reference|high_cer_moderate_wer,اليوم جيت بش نحكي لكم ا حكاية متاع المريول اذايا en fait,bon جات بش نحكي لكم ا حكاية متاع مدن الامام
sample_00013628,dataset/extracted_wavs/sample_00013628.wav,3.932,9,11,3,5,0.333333,0.108696,code_switched_reference,قبل pfe متاعي بثلاثة جمعات بابا توفي ربي يرحمه,قبل pfe متاعي بثلاثة ا جمعات بابا توفي ربي يا رحمو
sample_00017513,dataset/extracted_wavs/sample_00017513.wav,1.218,5,5,1,1,0.200000,0.050000,arabic_only_reference|short_clip,الا لما ربي هز متاعو,الا لما ربي يهز متاعو
sample_00019674,dataset/extracted_wavs/sample_00019674.wav,4.314,4,5,4,14,1.000000,0.583333,code_switched_reference,juste trimestre لول رتحت,juste تريماس اللول تحت اه
sample_00006288,dataset/extracted_wavs/sample_00006288.wav,1.134,3,3,1,3,0.333333,0.166667,code_switched_reference|short_clip,merci يعطيكم الصحة,merci فيكم الصحة
sample_00015516,dataset/extracted_wavs/sample_00015516.wav,1.063,3,1,3,17,1.000000,1.000000,code_switched_reference|short_clip|major_omission,c'est très simple,استاذة
sample_00014485,dataset/extracted_wavs/sample_00014485.wav,1.938,5,5,2,3,0.400000,0.103448,arabic_only_reference|short_clip,يلقي روحه مسركل بالجيش الاموي,يلقي روحهم سركة بالجيش الاموي
sample_00003263,dataset/extracted_wavs/sample_00003263.wav,1.974,4,3,1,2,0.250000,0.153846,arabic_only_reference|short_clip,انا م بش نمشي,انا بش نمشي
sample_00003812,dataset/extracted_wavs/sample_00003812.wav,1.534,4,4,2,8,0.500000,0.400000,code_switched_reference|short_clip|high_cer_moderate_wer,i switch to tunisian,i switch the tnf
sample_00004811,dataset/extracted_wavs/sample_00004811.wav,6.269,18,19,9,19,0.500000,0.191919,code_switched_reference,وفي بعض الاحيان اللي يقراوا étude وعندهم سوايع زايدة تلقاه يقري من نصف النهار للسبعة ونص متع العشية,وفي بعض الاحيان اللي يقراوا étude وعندما سوايع زادا تقراه هيقراها من نص في النهار للسلوان النص متاع العشية
sample_00020293,dataset/extracted_wavs/sample_00020293.wav,4.010,11,11,2,3,0.181818,0.046875,code_switched_reference,تخليهم معناها finalement الناس هاذوما n'ont pas accès à la santé,تخليوهم معناها finalement ناس هاذوما n'ont pas accès à la santé
sample_00015669,dataset/extracted_wavs/sample_00015669.wav,4.041,12,16,15,69,1.250000,0.971831,code_switched_reference,treize janvier deux mille dix sept بدينا نخدموا فيه فعليا كان ouverture,فارثور و لي بدينا نخدموا فيه فعلايا كان وقت ال treize janvier deux mille dix huit
sample_00016375,dataset/extracted_wavs/sample_00016375.wav,12.000,27,26,9,15,0.333333,0.105634,code_switched_reference|long_clip,عنا سلسلة متع عروض في تونس و و مشينا مبعد سافرنا عملنا tourné لبرا dernièrement كنا فالعراق donc توا رجعنا خاطر المسرحية مطلوبة برشا في تونس و,انا سلسلة متع عروض في تونس و مشينا بعد سافرنا عملنا tournée البرة dernièrement كنا فالايراق donc توا رجعنا خاطر مسرحية نطلوبوا برشا في تنس و
sample_00002171,dataset/extracted_wavs/sample_00002171.wav,4.543,9,9,1,2,0.111111,0.041667,arabic_only_reference,ثاني حاجة يلزمكم تعرفوها انني م ما نحملش القراية,الثاني حاجة يلزمكم تعرفوها انني م ما نحملش القراية
sample_00015477,dataset/extracted_wavs/sample_00015477.wav,2.376,6,6,0,0,0.000000,0.000000,arabic_only_reference|short_clip,ولكن كان ما ينجحش المرة لولة,ولكن كان ما ينجحش المرة لولة
sample_00000775,dataset/extracted_wavs/sample_00000775.wav,5.714,10,12,7,16,0.700000,0.320000,arabic_only_reference,تذكرت كل لقاء جمعنا للحب فتحسست كل لمساتك علي جسدي,تذكرت الكل اللي قال انجمعنا للحب فتحسست الكل انا نساتك علي جسدي
